Time resolution is 1 ps
Time=0 | Saved Address=0000 | Address_Out=0000 | test_bus=31 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=5000 | Saved Address=0000 | Address_Out=0000 | test_bus=31 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=35000 | Saved Address=0000 | Address_Out=0001 | test_bus=31 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=45000 | Saved Address=0001 | Address_Out=0000 | test_bus=31 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=55000 | Saved Address=0001 | Address_Out=0000 | test_bus=fd | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=75000 | Saved Address=0001 | Address_Out=0002 | test_bus=fd | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=85000 | Saved Address=0002 | Address_Out=0000 | test_bus=fd | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=95000 | Saved Address=0002 | Address_Out=0000 | test_bus=ff | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=115000 | Saved Address=0002 | Address_Out=0003 | test_bus=ff | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=125000 | Saved Address=0003 | Address_Out=0000 | test_bus=ff | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=135000 | Saved Address=0003 | Address_Out=fffd | test_bus=08 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=145000 | Saved Address=0003 | Address_Out=0000 | test_bus=08 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=155000 | Saved Address=0003 | Address_Out=0004 | test_bus=08 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=165000 | Saved Address=0004 | Address_Out=0000 | test_bus=08 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=175000 | Saved Address=0004 | Address_Out=0000 | test_bus=00 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=195000 | Saved Address=0004 | Address_Out=0005 | test_bus=00 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=205000 | Saved Address=0005 | Address_Out=0000 | test_bus=00 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=215000 | Saved Address=0005 | Address_Out=0000 | test_bus=80 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=235000 | Saved Address=0005 | Address_Out=8000 | test_bus=80 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=245000 | Saved Address=8000 | Address_Out=0000 | test_bus=80 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=255000 | Saved Address=8000 | Address_Out=0000 | test_bus=31 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=265000 | Saved Address=8000 | Address_Out=fffd | test_bus=31 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=275000 | Saved Address=8000 | Address_Out=8001 | test_bus=31 | Bus_Out=fd | reading data=0 | writing data=1 | sending address=1
Time=285000 | Saved Address=8001 | Address_Out=0000 | test_bus=31 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=295000 | Saved Address=8001 | Address_Out=0000 | test_bus=fd | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=305000 | Saved Address=8001 | Address_Out=fffd | test_bus=fd | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=315000 | Saved Address=8001 | Address_Out=0006 | test_bus=fd | Bus_Out=ff | reading data=0 | writing data=1 | sending address=1
Time=325000 | Saved Address=0006 | Address_Out=0000 | test_bus=fd | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=335000 | Saved Address=0006 | Address_Out=0000 | test_bus=00 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=355000 | Saved Address=0006 | Address_Out=0007 | test_bus=00 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=365000 | Saved Address=0007 | Address_Out=0000 | test_bus=00 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=375000 | Saved Address=0007 | Address_Out=0000 | test_bus=01 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=395000 | Saved Address=0007 | Address_Out=0008 | test_bus=01 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=405000 | Saved Address=0008 | Address_Out=0000 | test_bus=01 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=415000 | Saved Address=0008 | Address_Out=0000 | test_bus=cd | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=435000 | Saved Address=0008 | Address_Out=0009 | test_bus=cd | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=445000 | Saved Address=0009 | Address_Out=0000 | test_bus=cd | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=455000 | Saved Address=0009 | Address_Out=0000 | test_bus=ab | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=475000 | Saved Address=0009 | Address_Out=000a | test_bus=ab | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=485000 | Saved Address=000a | Address_Out=0000 | test_bus=ab | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=495000 | Saved Address=000a | Address_Out=abcd | test_bus=21 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=505000 | Saved Address=000a | Address_Out=0000 | test_bus=21 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=515000 | Saved Address=000a | Address_Out=000b | test_bus=21 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=525000 | Saved Address=000b | Address_Out=0000 | test_bus=21 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=535000 | Saved Address=000b | Address_Out=0000 | test_bus=33 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=555000 | Saved Address=000b | Address_Out=000c | test_bus=33 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=565000 | Saved Address=000c | Address_Out=0000 | test_bus=33 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=575000 | Saved Address=000c | Address_Out=0000 | test_bus=54 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=595000 | Saved Address=000c | Address_Out=000d | test_bus=54 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=605000 | Saved Address=000d | Address_Out=0000 | test_bus=54 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=615000 | Saved Address=000d | Address_Out=5433 | test_bus=09 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=625000 | Saved Address=000d | Address_Out=0000 | test_bus=09 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=635000 | Saved Address=000d | Address_Out=0000 | test_bus=09 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=0
Time=645000 | Saved Address=000d | Address_Out=abcd | test_bus=09 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=655000 | Saved Address=000d | Address_Out=0000 | test_bus=09 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=675000 | Saved Address=000d | Address_Out=000e | test_bus=09 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=1
